trial,epoch,train_loss,val_loss,val_micro_f1_05,val_macro_f1_05,val_weighted_f1_05,val_micro_f1_tuned,val_macro_f1_tuned,val_weighted_f1_tuned,thresholds,learning_rate,epochs,batch_size,weight_decay,dropout,max_length,pos_weight_mode
7,1,0.9818813311939409,0.5874326989665705,0.7416418271167324,0.6411557207043169,0.7524001305783429,0.7760378732702112,0.6714316972645037,0.7814738215443962,"{""toxic"": 0.8000000000000003, ""severe_toxic"": 0.6500000000000002, ""obscene"": 0.9500000000000004, ""threat"": 0.22500000000000003, ""insult"": 0.9500000000000004, ""identity_hate"": 0.8750000000000003}",1e-05,3,8,0.01,0.2,256,raw
7,2,0.6498354024055776,0.5625574156723241,0.7601326753498908,0.6724143101007333,0.767451514969225,0.7892200606817776,0.6995334818309175,0.7920880741252673,"{""toxic"": 0.9000000000000004, ""severe_toxic"": 0.8750000000000003, ""obscene"": 0.9500000000000004, ""threat"": 0.17500000000000004, ""insult"": 0.9500000000000004, ""identity_hate"": 0.8500000000000003}",1e-05,3,8,0.01,0.2,256,raw
7,3,0.4997074542587031,0.5968732061086542,0.7761672004045171,0.6834606327601745,0.78282596319024,0.7944955800601476,0.7050845716812657,0.7964715247874034,"{""toxic"": 0.7750000000000002, ""severe_toxic"": 0.9000000000000004, ""obscene"": 0.9500000000000004, ""threat"": 0.7000000000000003, ""insult"": 0.9500000000000004, ""identity_hate"": 0.9000000000000004}",1e-05,3,8,0.01,0.2,256,raw
