label,threshold,f1
toxic,0.05,0.7527855153203342
toxic,0.075,0.7656529516994633
toxic,0.1,0.7773101555352242
toxic,0.125,0.7836083812349341
toxic,0.15,0.7882638759110446
toxic,0.175,0.7903559992465624
toxic,0.2,0.7919514047076689
toxic,0.225,0.7944264172552014
toxic,0.25,0.7979254706108336
toxic,0.275,0.8005406449121452
toxic,0.3,0.8028771384136858
toxic,0.325,0.8057075840500391
toxic,0.35,0.8086444007858546
toxic,0.375,0.8113021142066785
toxic,0.4,0.8127727092423641
toxic,0.425,0.8129725427775567
toxic,0.45,0.8135728542914171
toxic,0.475,0.8149929845660453
toxic,0.5,0.8161543098251959
toxic,0.525,0.817998385794996
toxic,0.55,0.8185125303152789
toxic,0.575,0.8193796878167444
toxic,0.6,0.819585534335636
toxic,0.625,0.8195519348268839
toxic,0.65,0.8207643572450439
toxic,0.675,0.821619399917797
toxic,0.7,0.8233594717292613
toxic,0.725,0.8248190279214064
toxic,0.75,0.8258974891056236
toxic,0.775,0.826838924775995
toxic,0.8,0.8287153652392947
toxic,0.825,0.829845698583809
toxic,0.85,0.8316326530612245
toxic,0.875,0.8346895074946467
toxic,0.9,0.8352027610008628
toxic,0.925,0.839554682383759
toxic,0.95,0.8369299221357064
severe_toxic,0.05,0.36937647987371747
severe_toxic,0.075,0.38666666666666666
severe_toxic,0.1,0.4034934497816594
severe_toxic,0.125,0.4108597285067873
severe_toxic,0.15,0.41821561338289964
severe_toxic,0.175,0.42829827915869984
severe_toxic,0.2,0.433852140077821
severe_toxic,0.225,0.44047619047619047
severe_toxic,0.25,0.4484848484848485
severe_toxic,0.275,0.45267489711934156
severe_toxic,0.3,0.45768025078369906
severe_toxic,0.325,0.4641711229946524
severe_toxic,0.35,0.46956521739130436
severe_toxic,0.375,0.47345132743362833
severe_toxic,0.4,0.4742729306487696
severe_toxic,0.425,0.48228571428571426
severe_toxic,0.45,0.48498845265588914
severe_toxic,0.475,0.48413631022326675
severe_toxic,0.5,0.48984468339307047
severe_toxic,0.525,0.49215922798552475
severe_toxic,0.55,0.4975609756097561
severe_toxic,0.575,0.498159509202454
severe_toxic,0.6,0.505
severe_toxic,0.625,0.5037974683544304
severe_toxic,0.65,0.5006418485237484
severe_toxic,0.675,0.5012919896640827
severe_toxic,0.7,0.5032594524119948
severe_toxic,0.725,0.5099075297225891
severe_toxic,0.75,0.512
severe_toxic,0.775,0.5190217391304348
severe_toxic,0.8,0.5241379310344828
severe_toxic,0.825,0.5140449438202247
severe_toxic,0.85,0.5222381635581061
severe_toxic,0.875,0.5315712187958884
severe_toxic,0.9,0.5227963525835866
severe_toxic,0.925,0.5276461295418642
severe_toxic,0.95,0.5357737104825291
obscene,0.05,0.73125374925015
obscene,0.075,0.744556884391291
obscene,0.1,0.7518703241895262
obscene,0.125,0.7593177511054959
obscene,0.15,0.7656449553001277
obscene,0.175,0.7694784288473921
obscene,0.2,0.7739215050275705
obscene,0.225,0.7775236850702385
obscene,0.25,0.7805519053876478
obscene,0.275,0.7841322314049587
obscene,0.3,0.7859276468635911
obscene,0.325,0.7882627542514171
obscene,0.35,0.7897024406552993
obscene,0.375,0.7931497649429147
obscene,0.4,0.7955465587044535
obscene,0.425,0.7979695431472081
obscene,0.45,0.8006802721088435
obscene,0.475,0.8010936431989063
obscene,0.5,0.8038474750944693
obscene,0.525,0.8067632850241546
obscene,0.55,0.8089965397923875
obscene,0.575,0.8105482303955587
obscene,0.6,0.8142458100558659
obscene,0.625,0.8158540862855138
obscene,0.65,0.8176056338028169
obscene,0.675,0.8201133144475921
obscene,0.7,0.8213143872113676
obscene,0.725,0.8202567760342369
obscene,0.75,0.8224767358625626
obscene,0.775,0.825945945945946
obscene,0.8,0.828436706565107
obscene,0.825,0.8306451612903226
obscene,0.85,0.8317343173431734
obscene,0.875,0.8324043106651803
obscene,0.9,0.8361027190332326
obscene,0.925,0.8356951359632325
obscene,0.95,0.8337236533957846
threat,0.05,0.39156626506024095
threat,0.075,0.4659498207885305
threat,0.1,0.5
threat,0.125,0.5220883534136547
threat,0.15,0.5163934426229508
threat,0.175,0.5294117647058824
threat,0.2,0.5407725321888412
threat,0.225,0.5454545454545454
threat,0.25,0.56
threat,0.275,0.5727272727272728
threat,0.3,0.5806451612903226
threat,0.325,0.5727699530516432
threat,0.35,0.5781990521327014
threat,0.375,0.583732057416268
threat,0.4,0.5865384615384616
threat,0.425,0.5980392156862745
threat,0.45,0.6009852216748769
threat,0.475,0.6039603960396039
threat,0.5,0.6039603960396039
threat,0.525,0.6069651741293532
threat,0.55,0.6130653266331658
threat,0.575,0.6161616161616161
threat,0.6,0.6192893401015228
threat,0.625,0.6256410256410256
threat,0.65,0.6185567010309279
threat,0.675,0.6217616580310881
threat,0.7,0.6137566137566137
threat,0.725,0.6170212765957447
threat,0.75,0.6203208556149733
threat,0.775,0.6236559139784946
threat,0.8,0.6338797814207651
threat,0.825,0.6333333333333333
threat,0.85,0.6440677966101694
threat,0.875,0.6440677966101694
threat,0.9,0.6477272727272727
threat,0.925,0.6514285714285715
threat,0.95,0.6473988439306358
insult,0.05,0.6514976958525346
insult,0.075,0.6634986634986635
insult,0.1,0.676039119804401
insult,0.125,0.6851103512589369
insult,0.15,0.6910697380877249
insult,0.175,0.6934353091140854
insult,0.2,0.6947571566420071
insult,0.225,0.6995137763371151
insult,0.25,0.7041149575440888
insult,0.275,0.7089773100953634
insult,0.3,0.714095744680851
insult,0.325,0.7163879598662207
insult,0.35,0.7215104517869184
insult,0.375,0.7224102911306702
insult,0.4,0.7247363048656006
insult,0.425,0.7271482369051695
insult,0.45,0.728088336783989
insult,0.475,0.7299826689774697
insult,0.5,0.7322175732217573
insult,0.525,0.7345938375350141
insult,0.55,0.7375836562169779
insult,0.575,0.7383309759547383
insult,0.6,0.7402135231316725
insult,0.625,0.740343347639485
insult,0.65,0.7435344827586207
insult,0.675,0.7442196531791907
insult,0.7,0.7468216491100618
insult,0.725,0.7474377745241582
insult,0.75,0.7505535055350554
insult,0.775,0.7524091919940696
insult,0.8,0.7533632286995515
insult,0.825,0.7548022598870057
insult,0.85,0.756838905775076
insult,0.875,0.7585675779745861
insult,0.9,0.7621642662514597
insult,0.925,0.768986083499006
insult,0.95,0.7721881390593047
identity_hate,0.05,0.35611164581328203
identity_hate,0.075,0.39473684210526316
identity_hate,0.1,0.4166666666666667
identity_hate,0.125,0.44358974358974357
identity_hate,0.15,0.46567967698519513
identity_hate,0.175,0.48246844319775595
identity_hate,0.2,0.49415204678362573
identity_hate,0.225,0.49624060150375937
identity_hate,0.25,0.5022970903522205
identity_hate,0.275,0.5086342229199372
identity_hate,0.3,0.5192307692307693
identity_hate,0.325,0.525974025974026
identity_hate,0.35,0.5278688524590164
identity_hate,0.375,0.5324459234608985
identity_hate,0.4,0.5326633165829145
identity_hate,0.425,0.5281090289608177
identity_hate,0.45,0.531951640759931
identity_hate,0.475,0.534965034965035
identity_hate,0.5,0.5361552028218695
identity_hate,0.525,0.5380530973451327
identity_hate,0.55,0.5366726296958855
identity_hate,0.575,0.5405405405405406
identity_hate,0.6,0.546448087431694
identity_hate,0.625,0.5498154981549815
identity_hate,0.65,0.5539033457249071
identity_hate,0.675,0.556390977443609
identity_hate,0.7,0.555765595463138
identity_hate,0.725,0.5566218809980806
identity_hate,0.75,0.5570599613152805
identity_hate,0.775,0.55859375
identity_hate,0.8,0.562992125984252
identity_hate,0.825,0.5588822355289421
identity_hate,0.85,0.562753036437247
identity_hate,0.875,0.5603271983640081
identity_hate,0.9,0.5594989561586639
identity_hate,0.925,0.5628997867803838
identity_hate,0.95,0.5695364238410596
