label,threshold,f1
toxic,0.05,0.8026189100712497
toxic,0.075,0.8127348230175994
toxic,0.1,0.8189863234111022
toxic,0.125,0.8206477732793522
toxic,0.15,0.8248979591836735
toxic,0.175,0.8271047227926078
toxic,0.2,0.8285243198680956
toxic,0.225,0.8302277432712215
toxic,0.25,0.8311526479750779
toxic,0.275,0.8314934388669027
toxic,0.3,0.8333681789671754
toxic,0.325,0.8329490672814923
toxic,0.35,0.8332633347333054
toxic,0.375,0.8356510745891277
toxic,0.4,0.8349514563106796
toxic,0.425,0.8358714043993232
toxic,0.45,0.8366871425545436
toxic,0.475,0.8370417461326553
toxic,0.5,0.8365180467091295
toxic,0.525,0.8369819341126461
toxic,0.55,0.8364565587734242
toxic,0.575,0.838062726690847
toxic,0.6,0.8388200085506626
toxic,0.625,0.8382951381452131
toxic,0.65,0.8390139335476956
toxic,0.675,0.8390977443609022
toxic,0.7,0.8389319552110249
toxic,0.725,0.8394901706632102
toxic,0.75,0.8388912949328714
toxic,0.775,0.8385552654482158
toxic,0.8,0.8381742738589212
toxic,0.825,0.8386388583973655
toxic,0.85,0.8363555948695267
toxic,0.875,0.8366800535475234
toxic,0.9,0.8343141693073789
toxic,0.925,0.82742645355571
toxic,0.95,0.807495741056218
severe_toxic,0.05,0.3975373790677221
severe_toxic,0.075,0.4187793427230047
severe_toxic,0.1,0.4396039603960396
severe_toxic,0.125,0.45595854922279794
severe_toxic,0.15,0.47046186895810954
severe_toxic,0.175,0.4783092324805339
severe_toxic,0.2,0.47791619479048697
severe_toxic,0.225,0.49122807017543857
severe_toxic,0.25,0.5012048192771085
severe_toxic,0.275,0.5012224938875306
severe_toxic,0.3,0.4993726474278545
severe_toxic,0.325,0.506426735218509
severe_toxic,0.35,0.5032938076416338
severe_toxic,0.375,0.5087014725568942
severe_toxic,0.4,0.5123287671232877
severe_toxic,0.425,0.5172890733056709
severe_toxic,0.45,0.523943661971831
severe_toxic,0.475,0.520863309352518
severe_toxic,0.5,0.5263157894736842
severe_toxic,0.525,0.5252225519287834
severe_toxic,0.55,0.5341426403641881
severe_toxic,0.575,0.5376344086021505
severe_toxic,0.6,0.5329153605015674
severe_toxic,0.625,0.5316455696202531
severe_toxic,0.65,0.532258064516129
severe_toxic,0.675,0.5296052631578947
severe_toxic,0.7,0.5348837209302325
severe_toxic,0.725,0.5371621621621622
severe_toxic,0.75,0.5407279029462738
severe_toxic,0.775,0.5390070921985816
severe_toxic,0.8,0.5291970802919708
severe_toxic,0.825,0.5204460966542751
severe_toxic,0.85,0.5202312138728323
severe_toxic,0.875,0.5229540918163673
severe_toxic,0.9,0.5185185185185185
severe_toxic,0.925,0.5066079295154186
severe_toxic,0.95,0.4855769230769231
obscene,0.05,0.7822135670236936
obscene,0.075,0.7935034802784223
obscene,0.1,0.8014779979845482
obscene,0.125,0.8092485549132948
obscene,0.15,0.8106995884773662
obscene,0.175,0.8127159640635798
obscene,0.2,0.8178646196789952
obscene,0.225,0.8233638282899367
obscene,0.25,0.8258565877781703
obscene,0.275,0.8273661822048919
obscene,0.3,0.827930174563591
obscene,0.325,0.8276108726752504
obscene,0.35,0.8270406328658756
obscene,0.375,0.82880926529135
obscene,0.4,0.8302435478007997
obscene,0.425,0.8318132068588107
obscene,0.45,0.8344322344322345
obscene,0.475,0.8344370860927153
obscene,0.5,0.8339483394833949
obscene,0.525,0.8333333333333334
obscene,0.55,0.8342007434944237
obscene,0.575,0.8351976137211037
obscene,0.6,0.8371396480718832
obscene,0.625,0.8363363363363363
obscene,0.65,0.837471783295711
obscene,0.675,0.8388804841149773
obscene,0.7,0.8408659323965059
obscene,0.725,0.841100076394194
obscene,0.75,0.8401229823212913
obscene,0.775,0.8395825280247391
obscene,0.8,0.8392370572207084
obscene,0.825,0.8404883812524616
obscene,0.85,0.8418124006359301
obscene,0.875,0.842822774659182
obscene,0.9,0.8361122407482716
obscene,0.925,0.8344316309719935
obscene,0.95,0.8226351351351351
threat,0.05,0.4819277108433735
threat,0.075,0.5225225225225225
threat,0.1,0.5446009389671361
threat,0.125,0.5658536585365853
threat,0.15,0.5714285714285714
threat,0.175,0.5742574257425742
threat,0.2,0.5685279187817259
threat,0.225,0.5670103092783505
threat,0.25,0.5729166666666666
threat,0.275,0.5789473684210527
threat,0.3,0.582010582010582
threat,0.325,0.582010582010582
threat,0.35,0.582010582010582
threat,0.375,0.5945945945945946
threat,0.4,0.5978260869565217
threat,0.425,0.5978260869565217
threat,0.45,0.6010928961748634
threat,0.475,0.6043956043956044
threat,0.5,0.6077348066298343
threat,0.525,0.6145251396648045
threat,0.55,0.6179775280898876
threat,0.575,0.6179775280898876
threat,0.6,0.6136363636363636
threat,0.625,0.6171428571428571
threat,0.65,0.6242774566473989
threat,0.675,0.6242774566473989
threat,0.7,0.631578947368421
threat,0.725,0.6352941176470588
threat,0.75,0.6390532544378699
threat,0.775,0.6428571428571429
threat,0.8,0.6506024096385542
threat,0.825,0.654320987654321
threat,0.85,0.654320987654321
threat,0.875,0.65
threat,0.9,0.6582278481012658
threat,0.925,0.6451612903225806
threat,0.95,0.64
insult,0.05,0.6814268142681427
insult,0.075,0.7048543689320388
insult,0.1,0.7155718572857619
insult,0.125,0.7252221462747779
insult,0.15,0.7315716272600834
insult,0.175,0.7383638928067701
insult,0.2,0.7433059621563727
insult,0.225,0.7469358327325162
insult,0.25,0.7503639010189228
insult,0.275,0.75018261504748
insult,0.3,0.7520235467255335
insult,0.325,0.7549962990377498
insult,0.35,0.7543794260156541
insult,0.375,0.756655418072741
insult,0.4,0.7570621468926554
insult,0.425,0.7582292849035187
insult,0.45,0.7565714285714286
insult,0.475,0.7571701720841301
insult,0.5,0.7565284178187404
insult,0.525,0.7578215527230591
insult,0.55,0.7607934655775963
insult,0.575,0.7597809076682316
insult,0.6,0.7610410094637224
insult,0.625,0.761980198019802
insult,0.65,0.7653631284916201
insult,0.675,0.7637384677095869
insult,0.7,0.7605177993527508
insult,0.725,0.761400651465798
insult,0.75,0.760655737704918
insult,0.775,0.7622579316028019
insult,0.8,0.7601659751037344
insult,0.825,0.7593984962406015
insult,0.85,0.7602536997885835
insult,0.875,0.7610089781958101
insult,0.9,0.7582608695652174
insult,0.925,0.7504440497335702
insult,0.95,0.7318874019381634
identity_hate,0.05,0.42032332563510394
identity_hate,0.075,0.4716981132075472
identity_hate,0.1,0.5105105105105106
identity_hate,0.125,0.534181240063593
identity_hate,0.15,0.54
identity_hate,0.175,0.5545927209705372
identity_hate,0.2,0.5565529622980251
identity_hate,0.225,0.5547445255474452
identity_hate,0.25,0.5617977528089888
identity_hate,0.275,0.5627376425855514
identity_hate,0.3,0.5686653771760155
identity_hate,0.325,0.5691699604743083
identity_hate,0.35,0.5708582834331337
identity_hate,0.375,0.5743380855397149
identity_hate,0.4,0.5679012345679012
identity_hate,0.425,0.5744234800838575
identity_hate,0.45,0.5756929637526652
identity_hate,0.475,0.5738758029978587
identity_hate,0.5,0.5645514223194749
identity_hate,0.525,0.5663716814159292
identity_hate,0.55,0.5657015590200446
identity_hate,0.575,0.5682326621923938
identity_hate,0.6,0.5650224215246636
identity_hate,0.625,0.5681818181818182
identity_hate,0.65,0.5668202764976958
identity_hate,0.675,0.5654205607476636
identity_hate,0.7,0.5673758865248227
identity_hate,0.725,0.5748792270531401
identity_hate,0.75,0.5693430656934306
identity_hate,0.775,0.5686274509803921
identity_hate,0.8,0.562962962962963
identity_hate,0.825,0.5586034912718204
identity_hate,0.85,0.5555555555555556
identity_hate,0.875,0.5538461538461539
identity_hate,0.9,0.5483028720626631
identity_hate,0.925,0.5459459459459459
identity_hate,0.95,0.5413105413105413
